Topic,Relevant
-1,0
0,1
1,1
2,0
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
